,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'Init_Test_nKhtqDhAqhpXRoB'}),frozenset({'Init_Test_DrqobvatwhashXq'}),0.38666666666666666,0.4,0.2,0.5172413793103449,1.293103448275862,0.04533333333333334,1.2428571428571429,0.3695652173913044
1,frozenset({'Init_Test_DrqobvatwhashXq'}),frozenset({'Init_Test_nKhtqDhAqhpXRoB'}),0.4,0.38666666666666666,0.2,0.5,1.293103448275862,0.04533333333333334,1.2266666666666666,0.3777777777777778
2,frozenset({'Init_Test_vOPjhtZSHmDWEtj'}),frozenset({'Init_Test_GisqJogMpeIqvRH'}),0.38666666666666666,0.38666666666666666,0.2,0.5172413793103449,1.3376932223543403,0.050488888888888916,1.2704761904761905,0.411594202898551
3,frozenset({'Init_Test_GisqJogMpeIqvRH'}),frozenset({'Init_Test_vOPjhtZSHmDWEtj'}),0.38666666666666666,0.38666666666666666,0.2,0.5172413793103449,1.3376932223543403,0.050488888888888916,1.2704761904761905,0.411594202898551
4,frozenset({'Init_Test_PvluLrGxFSeQXxs'}),frozenset({'Init_Test_OHcXnbpHqAOjgYK'}),0.4,0.37333333333333335,0.21333333333333335,0.5333333333333333,1.4285714285714284,0.064,1.342857142857143,0.5
5,frozenset({'Init_Test_OHcXnbpHqAOjgYK'}),frozenset({'Init_Test_PvluLrGxFSeQXxs'}),0.37333333333333335,0.4,0.21333333333333335,0.5714285714285714,1.4285714285714284,0.064,1.4,0.47872340425531906
6,frozenset({'Init_Test_zeZZnfovuhbQPES'}),frozenset({'Init_Test_GisqJogMpeIqvRH'}),0.37333333333333335,0.38666666666666666,0.2,0.5357142857142857,1.3854679802955665,0.05564444444444444,1.321025641025641,0.4439716312056737
7,frozenset({'Init_Test_GisqJogMpeIqvRH'}),frozenset({'Init_Test_zeZZnfovuhbQPES'}),0.38666666666666666,0.37333333333333335,0.2,0.5172413793103449,1.3854679802955665,0.05564444444444444,1.2980952380952382,0.4536231884057971
8,frozenset({'Init_Test_GisqJogMpeIqvRH'}),frozenset({'Init_Test_LjOhIHgKkRAwewb'}),0.38666666666666666,0.37333333333333335,0.21333333333333335,0.5517241379310345,1.477832512315271,0.06897777777777778,1.397948717948718,0.5271739130434783
9,frozenset({'Init_Test_LjOhIHgKkRAwewb'}),frozenset({'Init_Test_GisqJogMpeIqvRH'}),0.37333333333333335,0.38666666666666666,0.21333333333333335,0.5714285714285714,1.477832512315271,0.06897777777777778,1.431111111111111,0.5159574468085105
10,frozenset({'Init_Test_zeZZnfovuhbQPES'}),frozenset({'Init_Test_LjOhIHgKkRAwewb'}),0.37333333333333335,0.37333333333333335,0.2,0.5357142857142857,1.4349489795918366,0.060622222222222216,1.3497435897435899,0.4836879432624112
11,frozenset({'Init_Test_LjOhIHgKkRAwewb'}),frozenset({'Init_Test_zeZZnfovuhbQPES'}),0.37333333333333335,0.37333333333333335,0.2,0.5357142857142857,1.4349489795918366,0.060622222222222216,1.3497435897435899,0.4836879432624112
12,frozenset({'Init_Test_zunyUarEjTVTaVo'}),frozenset({'Init_Test_PvluLrGxFSeQXxs'}),0.37333333333333335,0.4,0.21333333333333335,0.5714285714285714,1.4285714285714284,0.064,1.4,0.47872340425531906
13,frozenset({'Init_Test_PvluLrGxFSeQXxs'}),frozenset({'Init_Test_zunyUarEjTVTaVo'}),0.4,0.37333333333333335,0.21333333333333335,0.5333333333333333,1.4285714285714284,0.064,1.342857142857143,0.5
14,frozenset({'Init_Test_zunyUarEjTVTaVo'}),frozenset({'Init_Test_vOPjhtZSHmDWEtj'}),0.37333333333333335,0.38666666666666666,0.2,0.5357142857142857,1.3854679802955665,0.05564444444444444,1.321025641025641,0.4439716312056737
15,frozenset({'Init_Test_vOPjhtZSHmDWEtj'}),frozenset({'Init_Test_zunyUarEjTVTaVo'}),0.38666666666666666,0.37333333333333335,0.2,0.5172413793103449,1.3854679802955665,0.05564444444444444,1.2980952380952382,0.4536231884057971
16,frozenset({'Init_Test_PvluLrGxFSeQXxs'}),frozenset({'Init_Test_DIYXVNmJHMsGaCH'}),0.4,0.37333333333333335,0.21333333333333335,0.5333333333333333,1.4285714285714284,0.064,1.342857142857143,0.5
17,frozenset({'Init_Test_DIYXVNmJHMsGaCH'}),frozenset({'Init_Test_PvluLrGxFSeQXxs'}),0.37333333333333335,0.4,0.21333333333333335,0.5714285714285714,1.4285714285714284,0.064,1.4,0.47872340425531906
18,frozenset({'Init_Test_IWiMGlYhhuHGzmh'}),frozenset({'Init_Test_SkGBPyolFWYuKoC'}),0.38666666666666666,0.36,0.2,0.5172413793103449,1.4367816091954024,0.06080000000000002,1.3257142857142858,0.49565217391304367
19,frozenset({'Init_Test_SkGBPyolFWYuKoC'}),frozenset({'Init_Test_IWiMGlYhhuHGzmh'}),0.36,0.38666666666666666,0.2,0.5555555555555556,1.4367816091954024,0.06080000000000002,1.38,0.47500000000000014
20,frozenset({'Init_Test_hdScBoXCdMTveEZ'}),frozenset({'Init_Test_SkGBPyolFWYuKoC'}),0.37333333333333335,0.36,0.21333333333333335,0.5714285714285714,1.5873015873015872,0.07893333333333336,1.4933333333333332,0.5904255319148937
21,frozenset({'Init_Test_SkGBPyolFWYuKoC'}),frozenset({'Init_Test_hdScBoXCdMTveEZ'}),0.36,0.37333333333333335,0.21333333333333335,0.5925925925925927,1.5873015873015874,0.07893333333333336,1.5381818181818185,0.5781250000000001
22,frozenset({'Init_Test_IlEKbkUHNsqDigi'}),frozenset({'Init_Test_vOPjhtZSHmDWEtj'}),0.36,0.38666666666666666,0.2,0.5555555555555556,1.4367816091954024,0.06080000000000002,1.38,0.47500000000000014
23,frozenset({'Init_Test_vOPjhtZSHmDWEtj'}),frozenset({'Init_Test_IlEKbkUHNsqDigi'}),0.38666666666666666,0.36,0.2,0.5172413793103449,1.4367816091954024,0.06080000000000002,1.3257142857142858,0.49565217391304367
24,frozenset({'Init_Test_iTnkyIDAvUXgZBD'}),frozenset({'Init_Test_isEmPDzHZNkqweG'}),0.36,0.3466666666666667,0.22666666666666666,0.6296296296296297,1.8162393162393162,0.10186666666666666,1.764,0.7022058823529412
25,frozenset({'Init_Test_isEmPDzHZNkqweG'}),frozenset({'Init_Test_iTnkyIDAvUXgZBD'}),0.3466666666666667,0.36,0.22666666666666666,0.6538461538461537,1.816239316239316,0.10186666666666666,1.8488888888888884,0.687875150060024
26,frozenset({'Init_Test_qYyRBlANofmywAV'}),frozenset({'Init_Test_ktjbZjNkVOHJQjh'}),0.37333333333333335,0.3466666666666667,0.2,0.5357142857142857,1.5453296703296702,0.07057777777777777,1.4071794871794872,0.5631205673758863
27,frozenset({'Init_Test_ktjbZjNkVOHJQjh'}),frozenset({'Init_Test_qYyRBlANofmywAV'}),0.3466666666666667,0.37333333333333335,0.2,0.576923076923077,1.5453296703296704,0.07057777777777777,1.4812121212121214,0.5401360544217686
28,frozenset({'Init_Test_YbCZcRvCjFsYRCB'}),frozenset({'Init_Test_IlEKbkUHNsqDigi'}),0.3466666666666667,0.36,0.2,0.576923076923077,1.6025641025641029,0.07520000000000002,1.512727272727273,0.5755102040816327
29,frozenset({'Init_Test_IlEKbkUHNsqDigi'}),frozenset({'Init_Test_YbCZcRvCjFsYRCB'}),0.36,0.3466666666666667,0.2,0.5555555555555556,1.6025641025641026,0.07520000000000002,1.47,0.5875000000000001
30,frozenset({'Init_Test_DznmCuKTLzOmkmM'}),frozenset({'Init_Test_vOPjhtZSHmDWEtj'}),0.3333333333333333,0.38666666666666666,0.21333333333333335,0.6400000000000001,1.6551724137931039,0.08444444444444446,1.7037037037037042,0.59375
31,frozenset({'Init_Test_vOPjhtZSHmDWEtj'}),frozenset({'Init_Test_DznmCuKTLzOmkmM'}),0.38666666666666666,0.3333333333333333,0.21333333333333335,0.5517241379310345,1.6551724137931034,0.08444444444444446,1.4871794871794872,0.6453804347826089
32,frozenset({'Init_Test_qlIfwHjKYohnQOb'}),frozenset({'Init_Test_LjOhIHgKkRAwewb'}),0.3333333333333333,0.37333333333333335,0.2,0.6000000000000001,1.6071428571428572,0.07555555555555557,1.566666666666667,0.5666666666666667
33,frozenset({'Init_Test_LjOhIHgKkRAwewb'}),frozenset({'Init_Test_qlIfwHjKYohnQOb'}),0.37333333333333335,0.3333333333333333,0.2,0.5357142857142857,1.6071428571428572,0.07555555555555557,1.435897435897436,0.6028368794326241
34,frozenset({'Init_Test_bspxwVBudWSqtEL'}),frozenset({'Init_Test_IRpbLqpiSoAJLQt'}),0.36,0.3333333333333333,0.2,0.5555555555555556,1.6666666666666667,0.08000000000000002,1.5000000000000002,0.6250000000000001
