antecedent,confidence,consequent
['Init_Test_qjOfEAtXiqyJCki'],6,['Init_Test_DrqobvatwhashXq']
['Init_Test_DrqobvatwhashXq'],5,['Init_Test_lIeddceFXnNHkcA']
['Init_Test_lIeddceFXnNHkcA'],6,['Init_Test_DrqobvatwhashXq']
['Init_Test_nzpUKpJHPzaAOwO'],7,['Init_Test_BLsEsxPUJKHkuhg']
['Init_Test_BLsEsxPUJKHkuhg'],5,['Init_Test_nzpUKpJHPzaAOwO']
['Init_Test_GLnJcxTzltwYWcH'],6,['Init_Test_HOXNuzuGqdeTFGo']
['Init_Test_HOXNuzuGqdeTFGo'],7,['Init_Test_GLnJcxTzltwYWcH']
['Init_Test_YlKfjVNdvJehuBG'],5,['Init_Test_OHcXnbpHqAOjgYK']
['Init_Test_OHcXnbpHqAOjgYK'],5,['Init_Test_YlKfjVNdvJehuBG']
['Init_Test_LusjEZkDsZvXALf'],6,['Init_Test_DIYXVNmJHMsGaCH']
['Init_Test_DIYXVNmJHMsGaCH'],6,['Init_Test_LusjEZkDsZvXALf']
['Init_Test_eaikHWIIpKsHsTR'],6,['Init_Test_LusjEZkDsZvXALf']
['Init_Test_LusjEZkDsZvXALf'],6,['Init_Test_eaikHWIIpKsHsTR']
['Init_Test_iTnkyIDAvUXgZBD'],6,['Init_Test_yIwWcprtwPqEjzq']
['Init_Test_yIwWcprtwPqEjzq'],6,['Init_Test_iTnkyIDAvUXgZBD']
['Init_Test_bKxCVtAMDcFEobw'],6,['Init_Test_DIYXVNmJHMsGaCH']
['Init_Test_DIYXVNmJHMsGaCH'],6,['Init_Test_bKxCVtAMDcFEobw']
['Init_Test_bKxCVtAMDcFEobw'],6,['Init_Test_PvluLrGxFSeQXxs']
['Init_Test_PvluLrGxFSeQXxs'],5,['Init_Test_bKxCVtAMDcFEobw']
['Init_Test_PvluLrGxFSeQXxs'],5,['Init_Test_MmtyLgfhPhkruFC']
['Init_Test_MmtyLgfhPhkruFC'],6,['Init_Test_PvluLrGxFSeQXxs']
['Init_Test_vYSwysSCmBverWf'],6,['Init_Test_VLcYYTozbwYUbtj']
['Init_Test_VLcYYTozbwYUbtj'],7,['Init_Test_vYSwysSCmBverWf']
['Init_Test_vYSwysSCmBverWf'],6,['Init_Test_IGztaxHaFZfoNZx']
['Init_Test_IGztaxHaFZfoNZx'],6,['Init_Test_vYSwysSCmBverWf']
['Init_Test_jpHxqEKClpUCyMI'],7,['Init_Test_OHcXnbpHqAOjgYK']
['Init_Test_OHcXnbpHqAOjgYK'],6,['Init_Test_jpHxqEKClpUCyMI']
['Init_Test_yBTnuxaBChKuDpt'],7,['Init_Test_VWiekrNVjEqDjhe']
['Init_Test_VWiekrNVjEqDjhe'],6,['Init_Test_yBTnuxaBChKuDpt']
['Init_Test_zunyUarEjTVTaVo'],6,['Init_Test_FrzttUlpKMzEMDB']
['Init_Test_FrzttUlpKMzEMDB'],7,['Init_Test_zunyUarEjTVTaVo']
['Init_Test_lfFEgbrfmpxrMYI'],7,['Init_Test_nTyqVsDzLqqJdqi']
['Init_Test_nTyqVsDzLqqJdqi'],6,['Init_Test_lfFEgbrfmpxrMYI']
['Init_Test_UEFvFOCCdJCawbz'],8,['Init_Test_YlKfjVNdvJehuBG']
['Init_Test_YlKfjVNdvJehuBG'],6,['Init_Test_UEFvFOCCdJCawbz']
['Init_Test_JlfFuZGBPSHPtUE'],8,['Init_Test_bWTcEiwjInFaGFt']
['Init_Test_bWTcEiwjInFaGFt'],6,['Init_Test_JlfFuZGBPSHPtUE']
['Init_Test_LusjEZkDsZvXALf'],6,['Init_Test_nIFVIRyWeHsDDrN']
['Init_Test_nIFVIRyWeHsDDrN'],8,['Init_Test_LusjEZkDsZvXALf']
['Init_Test_nKhtqDhAqhpXRoB'],6,['Init_Test_FxpkRAMNRiqWfMC']
['Init_Test_FxpkRAMNRiqWfMC'],6,['Init_Test_nKhtqDhAqhpXRoB']
['Init_Test_ibIqTWdBvJwEFFx'],6,['Init_Test_JnQThYkFhklnBkE']
['Init_Test_JnQThYkFhklnBkE'],5,['Init_Test_ibIqTWdBvJwEFFx']
['Init_Test_ESrRXcDjxQyzIue'],6,['Init_Test_eHJGbynCwPneTxa']
['Init_Test_eHJGbynCwPneTxa'],6,['Init_Test_ESrRXcDjxQyzIue']
['Init_Test_XioEgwgXzUatNlL'],6,['Init_Test_NVwMNFjrlfLBQDk']
['Init_Test_NVwMNFjrlfLBQDk'],6,['Init_Test_XioEgwgXzUatNlL']
['Init_Test_DrqobvatwhashXq'],5,['Init_Test_FuqDTdfadicjACh']
['Init_Test_FuqDTdfadicjACh'],6,['Init_Test_DrqobvatwhashXq']
['Init_Test_JnQThYkFhklnBkE'],5,['Init_Test_nxwxgclARVLKmHA']
['Init_Test_nxwxgclARVLKmHA'],7,['Init_Test_JnQThYkFhklnBkE']
['Init_Test_agNMkjzKPkEDKEv'],7,['Init_Test_DrqobvatwhashXq']
['Init_Test_DrqobvatwhashXq'],5,['Init_Test_agNMkjzKPkEDKEv']
['Init_Test_wYHMalpjmFMoSrw'],7,['Init_Test_GisqJogMpeIqvRH']
['Init_Test_GisqJogMpeIqvRH'],5,['Init_Test_wYHMalpjmFMoSrw']
['Init_Test_eeZQbTysEftrBMM'],7,['Init_Test_JnQThYkFhklnBkE']
['Init_Test_JnQThYkFhklnBkE'],5,['Init_Test_eeZQbTysEftrBMM']
['Init_Test_LbIWuKdsAWxHame'],8,['Init_Test_GisqJogMpeIqvRH']
['Init_Test_GisqJogMpeIqvRH'],5,['Init_Test_LbIWuKdsAWxHame']
['Init_Test_xuPmAdSlaGHsrOp'],6,['Init_Test_IWiMGlYhhuHGzmh']
['Init_Test_IWiMGlYhhuHGzmh'],5,['Init_Test_xuPmAdSlaGHsrOp']
['Init_Test_pwgDTmRPSBLcZxH'],6,['Init_Test_VWiekrNVjEqDjhe']
['Init_Test_VWiekrNVjEqDjhe'],6,['Init_Test_pwgDTmRPSBLcZxH']
['Init_Test_pwgDTmRPSBLcZxH'],6,['Init_Test_YBEdStICRTVhROS']
['Init_Test_YBEdStICRTVhROS'],5,['Init_Test_pwgDTmRPSBLcZxH']
['Init_Test_bfddZrEQcOlIMgQ'],7,['Init_Test_JAHLIeaJzlwMkKC']
['Init_Test_JAHLIeaJzlwMkKC'],6,['Init_Test_bfddZrEQcOlIMgQ']
['Init_Test_DrqobvatwhashXq'],5,['Init_Test_HUrZvDcSsjBImmA']
['Init_Test_HUrZvDcSsjBImmA'],6,['Init_Test_DrqobvatwhashXq']
['Init_Test_YlKfjVNdvJehuBG'],5,['Init_Test_zylSwftLlDENoPG']
['Init_Test_zylSwftLlDENoPG'],7,['Init_Test_YlKfjVNdvJehuBG']
['Init_Test_xKeHIrsCYBLOsrn'],7,['Init_Test_JFrdeOvNotvnOWX']
['Init_Test_JFrdeOvNotvnOWX'],6,['Init_Test_xKeHIrsCYBLOsrn']
['Init_Test_teTfctWVydutsaI'],7,['Init_Test_PFfiNytNdPdKrFD']
['Init_Test_PFfiNytNdPdKrFD'],6,['Init_Test_teTfctWVydutsaI']
['Init_Test_hdScBoXCdMTveEZ'],6,['Init_Test_vOPjhtZSHmDWEtj']
['Init_Test_vOPjhtZSHmDWEtj'],6,['Init_Test_hdScBoXCdMTveEZ']
['Init_Test_YBEdStICRTVhROS'],5,['Init_Test_JFrdeOvNotvnOWX']
['Init_Test_JFrdeOvNotvnOWX'],6,['Init_Test_YBEdStICRTVhROS']
['Init_Test_PvluLrGxFSeQXxs'],5,['Init_Test_JFrdeOvNotvnOWX']
['Init_Test_JFrdeOvNotvnOWX'],6,['Init_Test_PvluLrGxFSeQXxs']
['Init_Test_bqMaiLbADYmLGPg'],8,['Init_Test_VWiekrNVjEqDjhe']
['Init_Test_VWiekrNVjEqDjhe'],6,['Init_Test_bqMaiLbADYmLGPg']
['Init_Test_PeYvNviBcAOXcoQ'],5,['Init_Test_JAHLIeaJzlwMkKC']
['Init_Test_JAHLIeaJzlwMkKC'],6,['Init_Test_PeYvNviBcAOXcoQ']
['Init_Test_wepnFjTZBcLruVd'],6,['Init_Test_wgBjpWsLnFBWkRf']
['Init_Test_wgBjpWsLnFBWkRf'],6,['Init_Test_wepnFjTZBcLruVd']
